locus_tag	ftype	length_bp	gene	EC_number	COG	product
FJJNNHDD_00001	gene	237				
FJJNNHDD_00001	CDS	237				unannotated protein
FJJNNHDD_00002	gene	522				
FJJNNHDD_00002	CDS	522				unannotated protein
FJJNNHDD_00003	gene	1266				
FJJNNHDD_00003	CDS	1266				unannotated protein
FJJNNHDD_00004	gene	819				
FJJNNHDD_00004	CDS	819				unannotated protein
FJJNNHDD_00005	gene	354				
FJJNNHDD_00005	CDS	354				unannotated protein
FJJNNHDD_00006	gene	246				
FJJNNHDD_00006	CDS	246				unannotated protein
FJJNNHDD_00007	gene	189				
FJJNNHDD_00007	CDS	189				unannotated protein
FJJNNHDD_00008	gene	261				
FJJNNHDD_00008	CDS	261				unannotated protein
FJJNNHDD_00009	gene	183				
FJJNNHDD_00009	CDS	183				unannotated protein
FJJNNHDD_00010	gene	312				
FJJNNHDD_00010	CDS	312				unannotated protein
FJJNNHDD_00011	gene	312				
FJJNNHDD_00011	CDS	312				unannotated protein
FJJNNHDD_00012	gene	354				
FJJNNHDD_00012	CDS	354				unannotated protein
FJJNNHDD_00013	gene	240				
FJJNNHDD_00013	CDS	240				unannotated protein
FJJNNHDD_00014	gene	693				
FJJNNHDD_00014	CDS	693				unannotated protein
FJJNNHDD_00015	gene	372				
FJJNNHDD_00015	CDS	372				unannotated protein
FJJNNHDD_00016	gene	210				
FJJNNHDD_00016	CDS	210				unannotated protein
FJJNNHDD_00017	gene	222				
FJJNNHDD_00017	CDS	222				unannotated protein
FJJNNHDD_00018	gene	276				
FJJNNHDD_00018	CDS	276				unannotated protein
FJJNNHDD_00019	gene	1005				
FJJNNHDD_00019	CDS	1005				unannotated protein
FJJNNHDD_00020	gene	378				
FJJNNHDD_00020	CDS	378				unannotated protein
FJJNNHDD_00021	gene	1611				
FJJNNHDD_00021	CDS	1611				unannotated protein
FJJNNHDD_00022	gene	792				
FJJNNHDD_00022	CDS	792				unannotated protein
FJJNNHDD_00023	gene	399				
FJJNNHDD_00023	CDS	399				unannotated protein
FJJNNHDD_00024	gene	336				
FJJNNHDD_00024	CDS	336				unannotated protein
FJJNNHDD_00025	gene	261				
FJJNNHDD_00025	CDS	261				unannotated protein
FJJNNHDD_00026	gene	1191				
FJJNNHDD_00026	CDS	1191				unannotated protein
FJJNNHDD_00027	gene	327				
FJJNNHDD_00027	CDS	327				unannotated protein
FJJNNHDD_00028	gene	300				
FJJNNHDD_00028	CDS	300				unannotated protein
FJJNNHDD_00029	gene	303				
FJJNNHDD_00029	CDS	303				unannotated protein
FJJNNHDD_00030	gene	390				
FJJNNHDD_00030	CDS	390				unannotated protein
FJJNNHDD_00031	gene	636				
FJJNNHDD_00031	CDS	636				unannotated protein
FJJNNHDD_00032	gene	462				
FJJNNHDD_00032	CDS	462				unannotated protein
FJJNNHDD_00033	gene	477				
FJJNNHDD_00033	CDS	477				unannotated protein
FJJNNHDD_00034	gene	741				
FJJNNHDD_00034	CDS	741				unannotated protein
FJJNNHDD_00035	gene	879				
FJJNNHDD_00035	CDS	879				unannotated protein
FJJNNHDD_00036	gene	207				
FJJNNHDD_00036	CDS	207				unannotated protein
FJJNNHDD_00037	gene	504				
FJJNNHDD_00037	CDS	504				unannotated protein
FJJNNHDD_00038	gene	576				
FJJNNHDD_00038	CDS	576				unannotated protein
FJJNNHDD_00039	gene	111				
FJJNNHDD_00039	CDS	111				unannotated protein
FJJNNHDD_00040	gene	270				
FJJNNHDD_00040	CDS	270				unannotated protein
FJJNNHDD_00041	gene	378				
FJJNNHDD_00041	CDS	378				unannotated protein
FJJNNHDD_00042	gene	171				
FJJNNHDD_00042	CDS	171				unannotated protein
FJJNNHDD_00043	gene	234				
FJJNNHDD_00043	CDS	234				unannotated protein
FJJNNHDD_00044	gene	309				
FJJNNHDD_00044	CDS	309				unannotated protein
FJJNNHDD_00045	gene	156				
FJJNNHDD_00045	CDS	156				unannotated protein
FJJNNHDD_00046	gene	348				
FJJNNHDD_00046	CDS	348				unannotated protein
FJJNNHDD_00047	gene	792				
FJJNNHDD_00047	CDS	792				unannotated protein
FJJNNHDD_00048	gene	846				
FJJNNHDD_00048	CDS	846				unannotated protein
FJJNNHDD_00049	gene	1005				
FJJNNHDD_00049	CDS	1005				unannotated protein
FJJNNHDD_00050	gene	378				
FJJNNHDD_00050	CDS	378				unannotated protein
FJJNNHDD_00051	gene	1611				
FJJNNHDD_00051	CDS	1611				unannotated protein
FJJNNHDD_00052	gene	792				
FJJNNHDD_00052	CDS	792				unannotated protein
FJJNNHDD_00053	gene	399				
FJJNNHDD_00053	CDS	399				unannotated protein
FJJNNHDD_00054	gene	336				
FJJNNHDD_00054	CDS	336				unannotated protein
FJJNNHDD_00055	gene	261				
FJJNNHDD_00055	CDS	261				unannotated protein
FJJNNHDD_00056	gene	1191				
FJJNNHDD_00056	CDS	1191				unannotated protein
FJJNNHDD_00057	gene	327				
FJJNNHDD_00057	CDS	327				unannotated protein
FJJNNHDD_00058	gene	1854				
FJJNNHDD_00058	CDS	1854				unannotated protein
FJJNNHDD_00059	gene	1134				
FJJNNHDD_00059	CDS	1134				unannotated protein
FJJNNHDD_00060	gene	1788				
FJJNNHDD_00060	CDS	1788				unannotated protein
FJJNNHDD_00061	gene	519				
FJJNNHDD_00061	CDS	519				unannotated protein
FJJNNHDD_00062	gene	1098				
FJJNNHDD_00062	CDS	1098				unannotated protein
FJJNNHDD_00063	gene	246				
FJJNNHDD_00063	CDS	246				unannotated protein
FJJNNHDD_00064	gene	1017				
FJJNNHDD_00064	CDS	1017				unannotated protein
FJJNNHDD_00065	gene	270				
FJJNNHDD_00065	CDS	270				unannotated protein
FJJNNHDD_00066	gene	819				
FJJNNHDD_00066	CDS	819				unannotated protein
FJJNNHDD_00067	gene	354				
FJJNNHDD_00067	CDS	354				unannotated protein
FJJNNHDD_00068	gene	246				
FJJNNHDD_00068	CDS	246				unannotated protein
FJJNNHDD_00069	gene	189				
FJJNNHDD_00069	CDS	189				unannotated protein
FJJNNHDD_00070	gene	261				
FJJNNHDD_00070	CDS	261				unannotated protein
FJJNNHDD_00071	gene	183				
FJJNNHDD_00071	CDS	183				unannotated protein
FJJNNHDD_00072	gene	312				
FJJNNHDD_00072	CDS	312				unannotated protein
FJJNNHDD_00073	gene	312				
FJJNNHDD_00073	CDS	312				unannotated protein
FJJNNHDD_00074	gene	354				
FJJNNHDD_00074	CDS	354				unannotated protein
FJJNNHDD_00075	gene	240				
FJJNNHDD_00075	CDS	240				unannotated protein
FJJNNHDD_00076	gene	693				
